price,qty,side
82.29,0.5,sell
81.50,2.0,sell
78.58,0.5,sell
79.17,0.5,sell
79.69,1.0,buy
79.70,1.0,sell
79.23,0.5,buy
76.40,0.5,buy
75.56,0.5,sell
74.87,2.0,buy
73.27,0.5,sell
72.95,1.0,sell
73.75,1.0,buy
77.53,0.5,sell
77.88,0.5,buy
78.39,1.0,sell
78.24,0.5,sell
74.40,0.5,buy
74.35,2.0,buy
74.47,2.0,sell
79.40,0.5,buy
79.01,0.5,sell
79.62,1.0,buy
79.55,2.0,buy
77.21,1.0,buy
79.50,1.0,sell
81.00,0.5,sell
82.58,1.0,sell
80.76,0.5,buy
83.57,0.5,sell
80.76,1.0,buy
81.94,2.0,sell
86.32,2.0,sell
84.34,2.0,buy
83.21,1.0,sell
83.40,2.0,sell
82.40,2.0,buy
79.30,2.0,buy
79.43,2.0,buy
77.31,2.0,buy
78.26,0.5,buy
76.42,2.0,buy
79.52,0.5,buy
77.95,0.5,sell
77.31,2.0,buy
78.93,2.0,sell
76.47,1.0,sell
76.93,1.0,sell
79.54,0.5,buy
76.33,0.5,buy
76.70,2.0,sell
77.22,1.0,sell
78.78,2.0,sell
76.31,0.5,sell
73.66,1.0,sell
74.71,1.0,sell
75.30,0.5,sell
75.80,0.5,buy
76.50,2.0,sell
75.14,1.0,buy
75.60,1.0,sell
76.19,1.0,sell
74.76,1.0,buy
78.49,0.5,buy
79.44,0.5,sell
77.05,0.5,buy
78.37,2.0,buy
76.42,2.0,sell
77.99,1.0,sell
80.31,1.0,sell
78.67,1.0,buy
80.59,0.5,buy
81.42,1.0,sell
83.06,0.5,buy
86.86,0.5,buy
86.37,2.0,sell
84.86,1.0,sell
83.08,0.5,buy
81.45,1.0,sell
81.29,2.0,buy
81.98,1.0,sell
82.53,1.0,buy
84.19,0.5,buy
84.21,2.0,sell
87.12,1.0,buy
86.59,1.0,buy
92.03,2.0,buy
93.28,0.5,sell
91.57,2.0,sell
89.42,0.5,buy
90.39,0.5,buy
89.94,0.5,sell
91.37,1.0,sell
92.32,2.0,sell
92.17,1.0,sell
90.48,2.0,sell
87.45,0.5,sell
86.55,1.0,buy
88.27,2.0,sell
88.70,1.0,buy
86.20,1.0,sell
86.55,1.0,buy
87.32,0.5,sell
85.55,2.0,buy
85.86,2.0,sell
85.98,1.0,sell
83.69,2.0,buy
84.41,0.5,sell
85.53,2.0,buy
87.69,0.5,sell
89.80,2.0,buy
87.05,0.5,buy
85.17,0.5,sell
86.20,0.5,sell
87.23,1.0,buy
88.26,2.0,buy
95.96,0.5,sell
97.11,1.0,sell
99.38,0.5,buy
101.29,0.5,buy
102.59,0.5,buy
101.96,0.5,buy
103.48,0.5,buy
101.93,2.0,sell
101.46,1.0,sell
100.49,1.0,buy
100.65,2.0,sell
105.28,2.0,sell
101.54,0.5,sell
102.92,2.0,buy
99.69,1.0,buy
98.75,2.0,sell
100.93,1.0,sell
101.05,1.0,sell
98.90,2.0,buy
97.47,0.5,buy
98.83,2.0,buy
97.37,1.0,buy
97.80,1.0,buy
97.89,1.0,sell
96.59,0.5,sell
100.88,0.5,buy
102.14,1.0,sell
98.09,1.0,buy
98.47,2.0,sell
97.14,1.0,sell
98.85,0.5,buy
97.26,0.5,buy
97.03,0.5,buy
98.04,0.5,buy
99.77,0.5,sell
97.37,1.0,sell
96.70,2.0,buy
95.75,0.5,sell
94.45,1.0,buy
97.98,2.0,sell
98.79,0.5,buy
96.27,1.0,sell
98.10,1.0,buy
102.35,0.5,sell
104.41,2.0,sell
101.37,2.0,sell
100.40,0.5,buy
102.94,1.0,buy
101.52,2.0,buy
102.41,0.5,sell
103.96,2.0,sell
102.11,0.5,buy
101.99,0.5,sell
95.50,1.0,sell
93.46,2.0,buy
92.95,2.0,sell
90.46,0.5,buy
93.72,2.0,buy
90.86,1.0,buy
89.98,0.5,buy
90.24,1.0,sell
93.12,1.0,buy
90.25,1.0,buy
92.58,0.5,sell
92.60,1.0,sell
90.64,0.5,buy
91.56,0.5,buy
91.96,0.5,sell
90.76,1.0,sell
90.90,0.5,buy
90.13,2.0,buy
90.35,2.0,buy
91.68,1.0,buy
94.85,1.0,buy
92.37,0.5,buy
96.64,0.5,sell
92.74,0.5,buy
92.43,0.5,sell
93.61,0.5,sell
94.17,0.5,sell
92.93,0.5,sell
92.51,1.0,buy
91.52,0.5,buy
90.34,2.0,sell
92.04,2.0,sell
92.76,0.5,buy
91.37,2.0,sell
93.17,2.0,sell
93.79,0.5,buy
95.41,0.5,buy
96.67,2.0,buy
95.01,0.5,sell
93.89,2.0,sell
95.39,0.5,buy
96.61,1.0,sell
96.57,2.0,buy
96.80,2.0,sell
99.36,2.0,sell
98.17,0.5,buy
99.27,1.0,sell
98.86,1.0,sell
98.43,0.5,buy
100.62,0.5,buy
102.28,2.0,sell
103.90,0.5,buy
106.51,1.0,buy
106.56,0.5,buy
107.92,1.0,sell
107.30,1.0,sell
107.95,2.0,sell
107.69,1.0,sell
107.88,2.0,buy
109.07,1.0,sell
107.43,2.0,buy
111.62,1.0,buy
109.61,0.5,buy
107.18,1.0,buy
109.50,0.5,buy
111.08,1.0,buy
112.33,2.0,sell
113.58,0.5,sell
113.56,1.0,buy
111.76,0.5,sell
111.92,2.0,buy
110.56,0.5,buy
112.51,1.0,buy
112.22,1.0,sell
110.57,2.0,sell
109.92,1.0,buy
110.75,1.0,sell
109.62,0.5,sell
107.98,0.5,buy
108.47,2.0,sell
108.96,2.0,sell
107.94,0.5,sell
107.00,0.5,buy
107.46,2.0,sell
104.57,2.0,buy
101.75,1.0,buy
100.32,2.0,sell
99.89,0.5,sell
100.51,1.0,buy
103.46,0.5,sell
105.18,2.0,sell
104.86,2.0,sell
104.82,1.0,buy
102.81,0.5,sell
102.78,1.0,sell
102.20,2.0,sell
102.84,0.5,sell
101.19,1.0,sell
102.23,1.0,sell
105.29,0.5,buy
105.08,0.5,buy
105.88,0.5,sell
107.26,2.0,sell
106.46,1.0,sell
106.91,0.5,sell
106.93,2.0,buy
107.13,1.0,buy
105.58,2.0,sell
105.63,1.0,buy
106.63,2.0,buy
109.53,1.0,buy
111.45,0.5,buy
115.75,0.5,buy
114.22,0.5,sell
115.96,0.5,sell
116.33,2.0,sell
120.71,1.0,sell
119.09,1.0,buy
117.41,2.0,sell
116.21,2.0,buy
111.97,1.0,buy
110.92,0.5,buy
109.40,1.0,sell
109.70,2.0,sell
110.38,2.0,sell
114.13,1.0,buy
116.03,2.0,buy
114.88,2.0,buy
113.08,2.0,buy
114.07,2.0,sell
111.43,1.0,sell
115.09,0.5,sell
117.45,2.0,sell
116.51,1.0,buy
113.08,2.0,sell
115.79,1.0,sell
115.56,0.5,sell
118.04,1.0,sell
114.85,0.5,buy
113.65,1.0,sell
113.66,0.5,sell
113.76,2.0,sell
112.86,0.5,buy
114.10,2.0,buy
111.97,2.0,buy
111.68,0.5,buy
111.92,0.5,buy
112.95,0.5,buy
114.37,1.0,sell
112.12,2.0,buy
109.06,2.0,sell
111.61,0.5,buy
112.28,0.5,buy
110.78,0.5,buy
113.88,0.5,sell
114.11,1.0,sell
116.47,1.0,buy
116.61,2.0,buy
120.73,1.0,buy
124.24,1.0,buy
123.74,0.5,buy
125.68,0.5,sell
126.97,2.0,buy
129.71,1.0,buy
127.78,0.5,sell
129.15,0.5,sell
131.27,1.0,sell
127.75,1.0,sell
125.39,2.0,sell
121.31,2.0,sell
120.77,0.5,sell
122.21,1.0,buy
125.21,1.0,sell
125.36,0.5,sell
128.62,1.0,sell
125.86,0.5,buy
122.45,0.5,buy
122.34,0.5,sell
123.11,0.5,buy
123.04,2.0,buy
118.91,2.0,buy
118.73,0.5,sell
116.12,0.5,sell
117.46,1.0,buy
118.19,2.0,sell
116.31,0.5,sell
115.28,1.0,sell
113.16,0.5,buy
113.04,0.5,buy
114.95,0.5,sell
112.98,1.0,sell
113.99,2.0,sell
112.93,1.0,sell
111.34,2.0,buy
111.13,2.0,sell
109.06,2.0,buy
107.95,2.0,sell
105.55,1.0,sell
109.48,1.0,buy
109.55,2.0,sell
108.15,0.5,buy
108.58,1.0,sell
108.36,0.5,buy
107.91,1.0,sell
109.14,1.0,sell
110.66,1.0,buy
109.60,0.5,buy
108.44,2.0,buy
107.89,2.0,buy
103.29,1.0,sell
100.26,0.5,buy
102.99,1.0,sell
106.28,0.5,buy
105.79,0.5,sell
106.94,0.5,buy
107.56,1.0,buy
113.72,1.0,sell
115.96,1.0,buy
115.70,2.0,sell
113.79,0.5,sell
110.58,1.0,sell
110.99,1.0,buy
109.47,0.5,buy
106.63,0.5,buy
105.34,2.0,sell
103.17,1.0,buy
106.55,1.0,sell
108.31,0.5,sell
108.29,1.0,sell
111.25,0.5,buy
111.41,2.0,buy
109.69,1.0,buy
112.73,1.0,sell
113.81,2.0,sell
111.74,2.0,buy
111.35,2.0,sell
109.60,0.5,sell
106.84,1.0,sell
108.69,0.5,buy
112.51,0.5,sell
109.71,1.0,buy
110.84,2.0,sell
109.54,0.5,sell
108.56,2.0,buy
107.38,0.5,sell
105.65,1.0,buy
105.75,1.0,sell
104.08,0.5,buy
104.63,1.0,buy
104.53,0.5,buy
104.05,1.0,buy
102.23,2.0,buy
101.08,2.0,buy
102.59,1.0,sell
103.59,2.0,sell
101.64,2.0,sell
101.83,0.5,sell
103.34,1.0,sell
100.00,2.0,buy
101.09,0.5,buy
99.76,0.5,sell
100.90,2.0,sell
99.37,2.0,buy
95.77,0.5,sell
92.51,2.0,buy
92.61,2.0,buy
93.13,0.5,sell
91.32,1.0,sell
92.59,0.5,sell
89.27,2.0,sell
89.14,2.0,buy
86.72,0.5,buy
85.41,2.0,sell
85.51,2.0,sell
83.79,1.0,buy
83.02,0.5,buy
85.03,2.0,sell
83.88,2.0,buy
85.55,0.5,buy
83.29,1.0,buy
84.35,2.0,sell
87.23,0.5,buy
82.29,2.0,buy
80.69,2.0,sell
81.85,0.5,sell
81.44,2.0,sell
82.19,2.0,sell
80.98,2.0,sell
81.15,1.0,sell
80.84,0.5,buy
83.17,0.5,sell
83.68,0.5,buy
84.36,0.5,buy
83.53,0.5,sell
82.56,2.0,buy
81.69,0.5,sell
82.48,1.0,buy
81.64,1.0,sell
82.22,2.0,buy
86.37,0.5,sell
88.11,1.0,sell
87.46,2.0,buy
89.86,1.0,sell
89.05,0.5,sell
84.97,0.5,buy
82.96,0.5,sell
79.21,0.5,sell
78.51,2.0,sell
78.55,0.5,sell
81.90,2.0,buy
82.55,1.0,buy
82.12,2.0,buy
83.78,2.0,buy
79.35,0.5,sell
79.82,0.5,buy
81.37,0.5,sell
78.41,2.0,sell
80.70,1.0,sell
81.37,2.0,sell
80.54,1.0,sell
81.81,2.0,buy
86.35,0.5,sell
86.71,1.0,buy
87.21,0.5,buy
86.29,0.5,buy
84.59,1.0,buy
86.25,2.0,sell
84.54,0.5,buy
84.68,0.5,buy
83.73,1.0,buy
84.69,0.5,sell
85.35,0.5,buy
87.43,1.0,sell
86.41,0.5,sell
85.87,2.0,buy
83.91,0.5,sell
83.02,0.5,buy
83.78,1.0,buy
85.29,1.0,buy
83.45,0.5,sell
85.19,0.5,sell
87.90,0.5,sell
88.72,2.0,buy
92.48,2.0,sell
90.93,2.0,buy
88.44,2.0,buy
84.88,1.0,buy
87.88,2.0,buy
89.18,0.5,buy
89.07,0.5,sell
89.63,0.5,buy
87.38,1.0,sell
92.27,0.5,sell
92.53,2.0,sell
92.75,2.0,sell
94.20,2.0,buy
95.16,1.0,sell
95.61,1.0,buy
94.03,1.0,sell
94.97,2.0,buy
98.74,0.5,buy
101.43,1.0,buy
104.62,0.5,buy
103.59,2.0,sell
101.61,1.0,sell
101.36,2.0,buy
101.47,1.0,sell
103.66,1.0,sell
100.28,2.0,buy
103.34,1.0,sell
103.02,1.0,buy
102.17,2.0,sell
100.14,1.0,sell
96.83,1.0,buy
98.48,2.0,sell
98.63,0.5,buy
96.05,0.5,buy
93.46,0.5,buy
92.78,0.5,buy
96.12,0.5,sell
95.60,0.5,buy
92.60,1.0,sell
92.10,0.5,buy
91.56,0.5,buy
86.17,1.0,sell
86.06,1.0,buy
85.59,2.0,buy
86.99,2.0,sell
90.69,2.0,sell
92.94,1.0,buy
92.40,1.0,buy
90.19,0.5,sell
95.33,1.0,sell
95.45,0.5,buy
95.48,0.5,sell
95.43,0.5,sell
95.83,2.0,sell
95.54,1.0,buy
94.39,2.0,sell
93.30,2.0,buy
93.23,0.5,buy
92.15,0.5,buy
90.72,1.0,sell
90.93,0.5,buy
90.42,0.5,buy
93.43,2.0,buy
88.13,0.5,sell
90.31,2.0,buy
92.80,2.0,buy
88.66,1.0,buy
87.97,1.0,buy
87.23,2.0,sell
84.41,1.0,buy
82.86,0.5,sell
80.64,0.5,buy
84.14,1.0,buy
86.01,0.5,sell
88.56,0.5,sell
90.00,1.0,sell
87.74,0.5,buy
86.69,1.0,sell
87.67,0.5,sell
85.23,0.5,buy
86.65,1.0,sell
86.17,2.0,buy
85.42,1.0,buy
86.85,0.5,sell
87.73,0.5,buy
87.01,2.0,sell
89.33,2.0,buy
87.17,2.0,sell
88.40,2.0,buy
89.59,2.0,buy
88.97,1.0,buy
89.62,2.0,buy
87.12,2.0,sell
88.97,1.0,sell
88.60,1.0,sell
87.55,2.0,buy
89.65,0.5,buy
88.24,1.0,buy
85.42,2.0,buy
82.31,2.0,sell
83.52,2.0,buy
80.96,0.5,sell
84.47,2.0,sell
80.31,0.5,buy
83.70,0.5,sell
84.12,1.0,sell
83.93,2.0,buy
82.84,1.0,sell
83.64,1.0,sell
83.56,2.0,buy
85.77,2.0,buy
86.00,2.0,buy
86.30,2.0,sell
85.57,2.0,sell
85.46,2.0,sell
86.07,2.0,buy
82.65,2.0,sell
79.95,0.5,sell
81.44,2.0,buy
81.78,0.5,buy
81.41,0.5,buy
81.45,2.0,buy
82.15,2.0,buy
81.07,0.5,buy
79.51,0.5,sell
79.90,1.0,sell
77.95,0.5,buy
78.76,2.0,buy
75.36,1.0,sell
77.42,0.5,sell
78.36,1.0,buy
78.87,2.0,buy
80.84,0.5,buy
84.17,2.0,sell
86.20,1.0,sell
82.52,2.0,sell
79.96,2.0,buy
78.71,0.5,sell
78.76,2.0,sell
79.79,0.5,buy
78.34,0.5,sell
78.72,2.0,sell
77.21,2.0,sell
75.98,1.0,buy
73.17,1.0,buy
71.32,2.0,buy
68.62,2.0,buy
66.67,0.5,sell
68.78,1.0,sell
66.88,2.0,buy
72.14,1.0,sell
73.13,2.0,buy
73.50,1.0,sell
71.78,1.0,buy
73.18,2.0,sell
72.03,1.0,buy
72.27,2.0,buy
77.39,1.0,sell
77.20,1.0,buy
79.50,0.5,buy
78.09,0.5,sell
78.02,0.5,sell
81.57,2.0,buy
80.31,0.5,buy
83.94,2.0,sell
85.35,2.0,sell
84.23,1.0,sell
85.49,1.0,sell
87.44,1.0,buy
88.68,1.0,buy
85.54,2.0,sell
84.09,2.0,sell
83.59,2.0,buy
83.44,1.0,sell
84.68,2.0,buy
85.04,1.0,buy
82.37,2.0,sell
83.13,0.5,buy
84.35,2.0,buy
85.47,0.5,buy
87.63,1.0,buy
89.30,2.0,sell
90.22,0.5,sell
90.08,0.5,buy
86.76,2.0,buy
87.61,2.0,sell
88.03,2.0,buy
88.57,1.0,sell
86.02,0.5,sell
83.86,1.0,buy
85.96,2.0,buy
85.88,1.0,buy
87.25,0.5,buy
87.30,2.0,buy
87.36,2.0,sell
89.24,2.0,buy
88.21,2.0,buy
88.40,0.5,sell
87.48,2.0,buy
86.61,2.0,sell
85.99,0.5,sell
86.43,2.0,buy
85.48,0.5,sell
87.99,0.5,buy
86.20,2.0,buy
85.82,0.5,sell
84.94,1.0,buy
87.84,2.0,sell
88.23,2.0,buy
90.29,1.0,sell
87.32,2.0,sell
87.86,0.5,sell
89.64,2.0,sell
89.80,1.0,sell
91.93,0.5,buy
90.90,0.5,sell
93.72,2.0,buy
98.31,2.0,buy
97.59,0.5,buy
96.70,1.0,sell
99.60,0.5,buy
102.76,2.0,buy
101.72,0.5,sell
100.88,1.0,buy
100.31,2.0,sell
97.63,1.0,sell
95.79,1.0,buy
93.78,1.0,buy
92.24,1.0,sell
92.17,0.5,buy
92.64,1.0,sell
95.74,1.0,sell
93.75,0.5,buy
95.72,1.0,buy
95.29,1.0,sell
95.19,2.0,sell
96.54,2.0,sell
94.29,1.0,buy
95.06,1.0,sell
95.39,2.0,buy
96.38,0.5,buy
96.95,1.0,buy
101.87,0.5,buy
100.59,2.0,buy
99.53,0.5,sell
98.28,2.0,buy
97.17,0.5,sell
95.90,2.0,sell
98.27,2.0,sell
101.11,2.0,sell
99.97,0.5,sell
98.31,2.0,buy
99.25,0.5,sell
98.15,0.5,buy
99.41,2.0,sell
99.82,1.0,sell
96.79,2.0,sell
99.88,1.0,sell
103.47,1.0,sell
102.25,2.0,buy
101.47,2.0,sell
102.04,1.0,buy
102.71,2.0,sell
104.03,2.0,sell
108.05,2.0,sell
107.70,2.0,buy
106.10,0.5,buy
103.34,1.0,sell
101.88,0.5,buy
101.81,0.5,sell
105.40,1.0,sell
104.37,0.5,buy
104.82,0.5,buy
104.78,1.0,buy
107.16,1.0,buy
112.21,2.0,sell
111.15,1.0,buy
110.17,0.5,sell
112.26,1.0,sell
113.62,1.0,sell
117.32,1.0,sell
118.49,1.0,buy
117.77,1.0,sell
118.95,0.5,buy
121.17,0.5,buy
122.81,2.0,buy
123.82,2.0,sell
125.95,1.0,buy
128.29,2.0,buy
131.06,2.0,buy
132.36,0.5,sell
132.02,0.5,buy
132.31,2.0,buy
134.73,1.0,buy
133.09,1.0,sell
133.83,2.0,buy
133.04,0.5,sell
133.10,2.0,sell
135.66,1.0,buy
136.04,0.5,sell
136.13,1.0,sell
133.41,2.0,sell
134.91,2.0,buy
136.20,2.0,sell
140.52,1.0,sell
139.91,1.0,sell
140.35,0.5,sell
140.85,0.5,buy
144.00,1.0,buy
143.81,0.5,sell
144.37,1.0,buy
145.58,2.0,sell
145.96,2.0,buy
145.06,2.0,buy
145.45,0.5,sell
147.60,0.5,buy
145.55,2.0,buy
145.81,2.0,sell
144.41,0.5,buy
146.80,0.5,sell
143.76,0.5,sell
142.64,2.0,buy
143.39,2.0,sell
146.52,0.5,buy
146.39,0.5,sell
145.28,2.0,sell
149.04,0.5,buy
146.15,1.0,buy
141.75,2.0,sell
142.63,2.0,sell
141.63,0.5,sell
139.58,0.5,buy
141.00,0.5,buy
141.49,0.5,buy
140.36,2.0,sell
137.80,1.0,buy
139.54,0.5,sell
140.84,2.0,buy
140.65,1.0,sell
144.34,0.5,sell
142.20,2.0,sell
139.15,2.0,buy
137.76,0.5,sell
137.67,0.5,sell
138.16,2.0,buy
137.68,1.0,buy
138.38,1.0,buy
135.88,0.5,sell
138.77,2.0,buy
138.60,2.0,sell
140.84,1.0,buy
141.52,1.0,sell
142.44,1.0,sell
143.57,2.0,sell
144.47,2.0,buy
145.76,2.0,sell
148.41,1.0,buy
148.81,0.5,sell
150.22,1.0,buy
150.05,0.5,buy
152.93,2.0,sell
151.57,0.5,buy
155.17,2.0,buy
155.09,1.0,sell
152.23,1.0,sell
152.49,2.0,sell
151.13,0.5,buy
152.81,1.0,buy
151.50,0.5,sell
150.61,2.0,sell
146.83,0.5,buy
145.93,2.0,buy
141.08,2.0,sell
137.91,1.0,buy
139.43,0.5,buy
141.00,2.0,buy
141.85,1.0,buy
139.92,2.0,sell
139.83,1.0,buy
139.82,2.0,sell
137.50,1.0,sell
140.51,2.0,buy
142.26,0.5,sell
141.82,0.5,sell
141.87,0.5,sell
142.29,0.5,buy
138.21,1.0,sell
137.71,2.0,sell
136.35,0.5,buy
134.35,1.0,buy
133.78,1.0,sell
137.38,1.0,buy
138.66,0.5,sell
137.52,1.0,buy
138.66,0.5,buy
